RGIId,ELA
RGI60-13.11075,5220
RGI60-13.11169,5590
RGI60-13.11250,5175
RGI60-13.11414,3910
RGI60-13.11416,4109
RGI60-13.11432,NaN
RGI60-13.11461,4316
RGI60-13.11466,3926
RGI60-13.11503,3802
RGI60-13.11527,3920
RGI60-13.11530,4134
RGI60-13.11534,4729
RGI60-13.11544,4164
RGI60-13.11570,3836
RGI60-13.11592,3765
RGI60-13.11604,4249
RGI60-13.11606,3887
RGI60-13.11609,3834
RGI60-13.11611,3838
RGI60-13.11621,4063
RGI60-13.11647,4015
RGI60-13.11648,3804
RGI60-13.11650,4036
RGI60-13.11673,3743
RGI60-13.11787,5179.631457
RGI60-13.11788,4418
RGI60-13.12012,4828
RGI60-13.12013,4426
RGI60-13.12063,4799
RGI60-13.12083,4732
RGI60-13.12091,4903
RGI60-13.12110,4582
RGI60-13.12131,4385
RGI60-13.12139,4319
RGI60-13.12240,4217
RGI60-13.12244,4280
RGI60-13.12254,4550
RGI60-13.12476,5822
RGI60-13.12482,5139
RGI60-13.12485,4090
RGI60-13.12497,4208
RGI60-13.12507,4274
RGI60-13.12508,4216
RGI60-13.12509,4256
RGI60-13.12516,4528
RGI60-13.12525,4310
RGI60-13.12590,5180
RGI60-13.12603,5471
RGI60-13.12634,5103
RGI60-13.12643,5160
RGI60-13.12644,5024
RGI60-13.12653,4950
RGI60-13.12666,4925
RGI60-13.12672,4919
RGI60-13.12680,4946
RGI60-13.12708,4946
RGI60-13.12714,5347
RGI60-13.12719,5620
RGI60-13.12722,5415
RGI60-13.12734,5215
RGI60-13.12745,4682
RGI60-13.12751,5336
RGI60-13.12753,4925
RGI60-13.12760,5185
RGI60-13.12771,5249
RGI60-13.12781,5059
RGI60-13.12798,5021
RGI60-13.12818,4795
RGI60-13.12845,4924
RGI60-13.12870,4975
RGI60-13.12873,4971
RGI60-13.12877,5743
RGI60-13.12881,4948
RGI60-13.12886,4838
RGI60-13.12910,5067
RGI60-13.12912,4971
RGI60-13.12913,4630
RGI60-13.12921,5014
RGI60-13.12922,5112
RGI60-13.12923,5090
RGI60-13.12933,4921
RGI60-13.12937,4993
RGI60-13.12944,5108
RGI60-13.12950,6203
RGI60-13.12966,4634
RGI60-13.12983,4275
RGI60-13.13002,4486
RGI60-13.13003,5068
RGI60-13.13004,5361
RGI60-13.13013,4443
RGI60-13.13015,4929
RGI60-13.13025,4351
RGI60-13.13026,4281
RGI60-13.13043,4702
RGI60-13.13053,4398
RGI60-13.13061,5027
RGI60-13.13062,4522
RGI60-13.13064,4346
RGI60-13.13065,4554
RGI60-13.13067,4687
RGI60-13.13068,4511
RGI60-13.13069,4635
RGI60-13.13070,4583
RGI60-13.13078,4449
RGI60-13.13080,4175
RGI60-13.13081,5350
RGI60-13.13085,5129
RGI60-13.13086,5797
RGI60-13.13124,4984
RGI60-13.13131,4939
RGI60-13.13149,4910
RGI60-13.13152,4951
RGI60-13.13167,4802
RGI60-13.13168,5006
RGI60-13.13186,4934
RGI60-13.13187,5026
RGI60-13.13188,5430
RGI60-13.13197,4480
RGI60-13.13201,5224
RGI60-13.13202,5089
RGI60-13.13203,5881
RGI60-13.13224,6734
RGI60-13.13235,4798
RGI60-13.13238,5015
RGI60-13.13250,4913
RGI60-13.13251,4250
RGI60-13.13252,4219
RGI60-13.13258,4716
RGI60-13.13259,4834
RGI60-13.13260,4686
RGI60-13.13261,4998
RGI60-13.13265,4767
RGI60-13.13268,4690
RGI60-13.13270,5001
RGI60-13.13272,4734
RGI60-13.13299,5327
RGI60-13.13300,5040
RGI60-13.13302,5066
RGI60-13.13311,4795
RGI60-13.13316,4974
RGI60-13.13317,4998
RGI60-13.13318,4911
RGI60-13.13320,4852
RGI60-13.13321,4954
RGI60-13.13322,5124
RGI60-13.13323,4930
RGI60-13.13327,4988
RGI60-13.13332,5064
RGI60-13.13337,5368
RGI60-13.13341,5121
RGI60-13.13343,5053
RGI60-13.13357,5031
RGI60-13.13383,5183
RGI60-13.13388,5249
RGI60-13.13402,5092
RGI60-13.13413,5231
RGI60-13.13415,5573
RGI60-13.13417,5471
RGI60-13.13419,4973
RGI60-13.13437,5029
RGI60-13.13438,4967
RGI60-13.13496,4992
RGI60-13.13520,4937
RGI60-13.13566,4848
RGI60-13.13574,3859
RGI60-13.13589,4092
RGI60-13.13593,4898
RGI60-13.13595,5228
RGI60-13.13596,5307
RGI60-13.13600,4081
RGI60-13.13612,4022
RGI60-13.13622,4586
RGI60-13.13636,4497
RGI60-13.13639,5312
RGI60-13.13650,4835
RGI60-13.13729,4905
RGI60-13.13747,5288
RGI60-13.13769,5241
RGI60-13.13776,4213
RGI60-13.13779,5663
RGI60-13.13791,4402
RGI60-13.13800,4793
RGI60-13.13810,5382
RGI60-13.13812,4859
RGI60-13.13831,4840
RGI60-13.13869,5131
RGI60-13.13876,5033
RGI60-13.13884,4876
RGI60-13.13896,5062
RGI60-13.13922,5530
RGI60-13.13926,5444
RGI60-13.13942,5055
RGI60-13.13985,5048
RGI60-13.13986,4812
RGI60-13.13989,5011
RGI60-13.13994,4976
RGI60-13.14006,5556
RGI60-13.14011,5404
RGI60-13.14019,5198
RGI60-13.14032,5501
RGI60-13.14145,5165
RGI60-13.14150,5730
RGI60-13.14155,5649
RGI60-13.14159,5679
RGI60-13.14191,5012
RGI60-13.14236,5180
RGI60-13.14237,5119
RGI60-13.14262,5187
RGI60-13.14273,5312
RGI60-13.14320,4755
RGI60-13.14321,4088
RGI60-13.14327,4617
RGI60-13.14330,4966
RGI60-13.14332,5068
RGI60-13.14335,4550
RGI60-13.14336,5309
RGI60-13.14338,4001
RGI60-13.14339,4538
RGI60-13.14370,NaN
RGI60-13.14375,4572
RGI60-13.14410,5214
RGI60-13.14416,5318
RGI60-13.14441,5232
RGI60-13.14451,5148
RGI60-13.14483,4712
RGI60-13.14485,4783
RGI60-13.14501,4717
RGI60-13.14505,4866
RGI60-13.14506,5086
RGI60-13.14507,4486
RGI60-13.14518,4898
RGI60-13.14567,4915
RGI60-13.14572,5107
RGI60-13.14579,5179
RGI60-13.14587,5146.662423
RGI60-13.14589,4876
RGI60-13.14593,4905
RGI60-13.14612,4858
RGI60-13.14624,5030
RGI60-13.14626,4836
RGI60-13.14628,4968
RGI60-13.14643,4789
RGI60-13.14646,4659
RGI60-13.14662,5220
RGI60-13.14675,5334
RGI60-13.14678,4591
RGI60-13.14690,4780
RGI60-13.14704,4700
RGI60-13.14711,4908
RGI60-13.14715,5239
RGI60-13.14717,4231
RGI60-13.14738,4874
RGI60-13.14739,4826
RGI60-13.14759,4641
RGI60-13.14771,4882
RGI60-13.14789,5086
RGI60-13.14797,5483
RGI60-13.14799,5181
RGI60-13.14829,4880
RGI60-13.14839,5456
RGI60-13.14852,4809
RGI60-13.14859,4954
RGI60-13.14864,5082
RGI60-13.14900,5595
RGI60-13.14940,4800
RGI60-13.14943,4761
RGI60-13.14949,5188
RGI60-13.14965,4999
RGI60-13.14983,5000
RGI60-13.15021,5065
RGI60-13.15127,5271
RGI60-13.15137,5325
RGI60-13.15167,5209
RGI60-13.15171,4683
RGI60-13.15199,5536
RGI60-13.15274,5165
RGI60-13.15321,5026
RGI60-13.15328,5141
RGI60-13.15374,5286
RGI60-13.15378,4700
RGI60-13.15392,5128
RGI60-13.15428,4990
RGI60-13.15430,4869
RGI60-13.15431,5204
RGI60-13.15432,5246
RGI60-13.15438,4895
RGI60-13.15440,4817
RGI60-13.15455,4748
RGI60-13.15459,4512
RGI60-13.15467,4660
RGI60-13.15468,5023
RGI60-13.15469,5058
RGI60-13.15470,5472
RGI60-13.15482,5324
RGI60-13.15483,4167
RGI60-13.15493,5211
RGI60-13.15505,4375
RGI60-13.15507,4570
RGI60-13.15526,5058
RGI60-13.15553,4890
RGI60-13.15554,5541
RGI60-13.15561,5234.639598
RGI60-13.15595,5331
RGI60-13.15596,5273
RGI60-13.15704,5171
RGI60-13.15713,4953
RGI60-13.15750,5264
RGI60-13.15898,5199
RGI60-13.15904,5337
RGI60-13.15908,5455
RGI60-13.15911,5036
RGI60-13.16032,5104
RGI60-13.16035,5458
RGI60-13.16039,5229
RGI60-13.16040,4664
RGI60-13.16045,4942
RGI60-13.16049,5271
RGI60-13.16050,4404
RGI60-13.16080,5233
RGI60-13.16081,4897
RGI60-13.16107,4651
RGI60-13.16115,5258
RGI60-13.16118,5249
RGI60-13.16124,5058
RGI60-13.16129,5306
RGI60-13.16140,5046
RGI60-13.16165,4764
RGI60-13.16207,5148
RGI60-13.16211,5111
RGI60-13.16213,5382
RGI60-13.16219,5238
RGI60-13.16258,4869
